Venue,Address,Indoor,Outdoor,Total,Area,CarFree
Gibson Beach Club,"Mainzer Landstraße 23, 60329 Frankfurt am Main",0,2,2,City,Yes
Padel Frankfurt – Niddapark,"Am Ginnheimer Wäldchen 1, 60431 Frankfurt am Main",0,4,4,City,Yes
Sportpark Frankfurt,"August-Schanz-Straße 24–26, 60433 Frankfurt am Main",0,9,9,City,Yes
Höchster THC 1899,"Grasmückenweg 11, 65929 Frankfurt am Main",0,2,2,City,Yes
PadelCity Frankfurt,"Kennedyallee 127, 60596 Frankfurt am Main",0,3,3,City,Yes
The Padellers – Frankfurt (Dreieich),"Otto-Hahn-Straße 39, 63303 Dreieich",9,0,9,Metro,Yes
Totals (Overall),—,9,20,29,,
